kind,question,level,label,reason,n_valid_seeds
label,R_l2wt,95,INCOMPLETE,0 valid seeds < 8,0
label,R_l2wt,97.5,INCOMPLETE,0 valid seeds < 8,0
label,R_l2rest,95,INCOMPLETE,0 valid seeds < 8,0
label,R_l2rest,97.5,INCOMPLETE,0 valid seeds < 8,0
label,LR_l2wt,95,INCOMPLETE,0 valid seeds < 8,0
label,LR_l2wt,97.5,INCOMPLETE,0 valid seeds < 8,0
label,LR_l2rest,95,INCOMPLETE,0 valid seeds < 8,0
label,LR_l2rest,97.5,INCOMPLETE,0 valid seeds < 8,0
pattern,R,95,MIXED,,0
pattern,R,97.5,MIXED,,0
pattern,LR,95,MIXED,,0
pattern,LR,97.5,MIXED,,0
